OrderLineId,OrderId,ProductId,QuantityKg,UnitPrice
ORD-00013-L2,ORD-00013,PROD-RCP-DARK70-GiftBox,474.4,12.59
ORD-00014-L1,ORD-00014,PROD-RCP-MILK35-Bar,112.9,21.25
ORD-00014-L2,ORD-00014,PROD-RCP-MILK35-IndividuallyWrapped,187.0,14.9
ORD-00014-L3,ORD-00014,PROD-RCP-DARK70-Bar,93.7,20.42
ORD-00015-L1,ORD-00015,PROD-RCP-MILK35-IndividuallyWrapped,344.7,19.67
ORD-00015-L2,ORD-00015,PROD-RCP-DARK70-GiftBox,327.0,21.15
ORD-00015-L3,ORD-00015,PROD-RCP-WHITE-Bar,175.9,17.66
ORD-00016-L1,ORD-00016,PROD-RCP-WHITE-Bar,77.2,11.86
ORD-00016-L2,ORD-00016,PROD-RCP-MILK35-Bar,485.7,21.29
ORD-00017-L1,ORD-00017,PROD-RCP-WHITE-Bar,404.1,11.41
ORD-00017-L2,ORD-00017,PROD-RCP-DARK70-Bar,106.7,15.9
ORD-00017-L3,ORD-00017,PROD-RCP-MILK35-IndividuallyWrapped,80.9,18.71
ORD-00018-L1,ORD-00018,PROD-RCP-DARK70-GiftBox,174.8,21.78
ORD-00018-L2,ORD-00018,PROD-RCP-DARK70-Bar,494.4,15.56
ORD-00019-L1,ORD-00019,PROD-RCP-WHITE-Bar,195.7,10.44
ORD-00020-L1,ORD-00020,PROD-RCP-DARK70-Bar,251.7,13.07
ORD-00020-L2,ORD-00020,PROD-RCP-WHITE-Bar,317.1,14.33
ORD-00020-L3,ORD-00020,PROD-RCP-DARK70-GiftBox,149.7,16.61
ORD-00021-L1,ORD-00021,PROD-RCP-DARK70-Bar,499.4,19.86
ORD-00022-L1,ORD-00022,PROD-RCP-DARK70-Bar,195.0,10.08
ORD-00022-L2,ORD-00022,PROD-RCP-WHITE-Bar,106.8,16.74
ORD-00023-L1,ORD-00023,PROD-RCP-WHITE-Bar,277.5,14.02
ORD-00023-L2,ORD-00023,PROD-RCP-MILK35-Bar,406.9,9.6
ORD-00023-L3,ORD-00023,PROD-RCP-DARK70-GiftBox,344.6,20.29
ORD-00024-L1,ORD-00024,PROD-RCP-DARK70-GiftBox,202.5,14.35
ORD-00024-L2,ORD-00024,PROD-RCP-MILK35-IndividuallyWrapped,237.2,9.33
ORD-00025-L1,ORD-00025,PROD-RCP-MILK35-IndividuallyWrapped,424.3,9.31
ORD-00025-L2,ORD-00025,PROD-RCP-DARK70-Bar,93.5,18.34
ORD-00025-L3,ORD-00025,PROD-RCP-WHITE-Bar,415.3,15.79
ORD-00026-L1,ORD-00026,PROD-RCP-DARK70-Bar,443.1,21.18
ORD-00026-L2,ORD-00026,PROD-RCP-MILK35-IndividuallyWrapped,240.3,20.82
ORD-00026-L3,ORD-00026,PROD-RCP-DARK70-GiftBox,73.2,12.03
ORD-00027-L1,ORD-00027,PROD-RCP-DARK70-GiftBox,207.6,15.79
ORD-00027-L2,ORD-00027,PROD-RCP-DARK70-Bar,101.7,11.9
ORD-00028-L1,ORD-00028,PROD-RCP-WHITE-Bar,468.1,19.61
ORD-00028-L2,ORD-00028,PROD-RCP-DARK70-Bar,170.4,10.53
ORD-00028-L3,ORD-00028,PROD-RCP-MILK35-Bar,366.2,12.33
ORD-00029-L1,ORD-00029,PROD-RCP-DARK70-GiftBox,383.4,21.61
ORD-00030-L1,ORD-00030,PROD-RCP-MILK35-Bar,190.2,12.54
ORD-00031-L1,ORD-00031,PROD-RCP-WHITE-Bar,72.4,9.14
ORD-00032-L1,ORD-00032,PROD-RCP-DARK70-GiftBox,205.3,9.55
ORD-00032-L2,ORD-00032,PROD-RCP-DARK70-Bar,355.2,16.3
ORD-00033-L1,ORD-00033,PROD-RCP-DARK70-Bar,142.0,21.23
ORD-00034-L1,ORD-00034,PROD-RCP-DARK70-Bar,273.8,14.03
ORD-00034-L2,ORD-00034,PROD-RCP-WHITE-Bar,108.1,15.46
ORD-00035-L1,ORD-00035,PROD-RCP-DARK70-Bar,58.4,20.9
ORD-00035-L2,ORD-00035,PROD-RCP-MILK35-IndividuallyWrapped,437.9,16.06
ORD-00036-L1,ORD-00036,PROD-RCP-DARK70-Bar,127.3,21.27
ORD-00036-L2,ORD-00036,PROD-RCP-MILK35-Bar,257.0,17.65
ORD-00037-L1,ORD-00037,PROD-RCP-MILK35-IndividuallyWrapped,315.0,15.34
ORD-00038-L1,ORD-00038,PROD-RCP-DARK70-Bar,279.7,9.6
ORD-00039-L1,ORD-00039,PROD-RCP-DARK70-GiftBox,96.3,11.58
ORD-00039-L2,ORD-00039,PROD-RCP-WHITE-Bar,128.1,10.14
