UsageId,BatchId,MaterialId,QuantityKg
USE-0011-PACK,BATCH-FAC-CHI-L1-20260718-d102,MAT-75A2D297F5,173.4
USE-0012-COCO,BATCH-FAC-CHI-L3-20260712-ed04,MAT-A6CEF730B7,51.2
USE-0012-SUGA,BATCH-FAC-CHI-L3-20260712-ed04,MAT-761E379627,234.8
USE-0012-PACK,BATCH-FAC-CHI-L3-20260712-ed04,MAT-626E4893C5,375.2
USE-0013-COCO,BATCH-FAC-CHI-L3-20260705-af3b,MAT-4B869F29D9,120.9
USE-0013-MILK,BATCH-FAC-CHI-L3-20260705-af3b,MAT-9FA7433EE3,275.2
USE-0013-SUGA,BATCH-FAC-CHI-L3-20260705-af3b,MAT-06E236740A,193.7
USE-0013-PACK,BATCH-FAC-CHI-L3-20260705-af3b,MAT-27D46B4664,23.5
USE-0014-COCO,BATCH-FAC-BCN-L1-20260716-a50f,MAT-DBAF5B7F9F,120.8
USE-0014-SUGA,BATCH-FAC-BCN-L1-20260716-a50f,MAT-675C4778F8,354.7
USE-0014-PACK,BATCH-FAC-BCN-L1-20260716-a50f,MAT-75A2D297F5,160.4
USE-0015-MILK,BATCH-FAC-CHI-L2-20260627-521a,MAT-9E3B54FE41,135.0
USE-0015-SUGA,BATCH-FAC-CHI-L2-20260627-521a,MAT-B3FD3C158A,23.0
USE-0015-PACK,BATCH-FAC-CHI-L2-20260627-521a,MAT-FFFBDC9C26,374.1
USE-0016-COCO,BATCH-FAC-BCN-L1-20260803-29fc,MAT-20762EE639,302.1
USE-0016-SUGA,BATCH-FAC-BCN-L1-20260803-29fc,MAT-06AEE2CC63,123.5
USE-0016-PACK,BATCH-FAC-BCN-L1-20260803-29fc,MAT-75A2D297F5,292.7
USE-0017-COCO,BATCH-FAC-CHI-L3-20260710-418f,MAT-DBAF5B7F9F,205.6
USE-0017-MILK,BATCH-FAC-CHI-L3-20260710-418f,MAT-62E2BFD47E,55.1
USE-0017-SUGA,BATCH-FAC-CHI-L3-20260710-418f,MAT-4BFE215CDA,335.2
USE-0017-PACK,BATCH-FAC-CHI-L3-20260710-418f,MAT-B21CD00C3D,21.3
USE-0018-COCO,BATCH-FAC-CHI-L3-20260803-52ee,MAT-864B061F30,187.9
USE-0018-SUGA,BATCH-FAC-CHI-L3-20260803-52ee,MAT-4BFE215CDA,233.1
USE-0018-PACK,BATCH-FAC-CHI-L3-20260803-52ee,MAT-27D46B4664,48.6
USE-0019-COCO,BATCH-FAC-CHI-L3-20260817-41b3,MAT-A6CEF730B7,230.0
USE-0019-MILK,BATCH-FAC-CHI-L3-20260817-41b3,MAT-220DB5B21F,68.4
USE-0019-SUGA,BATCH-FAC-CHI-L3-20260817-41b3,MAT-06E236740A,158.6
USE-0019-PACK,BATCH-FAC-CHI-L3-20260817-41b3,MAT-B21CD00C3D,361.6
USE-0020-MILK,BATCH-FAC-CHI-L3-20260804-42f2,MAT-62E2BFD47E,154.4
USE-0020-SUGA,BATCH-FAC-CHI-L3-20260804-42f2,MAT-B3FD3C158A,356.0
USE-0020-PACK,BATCH-FAC-CHI-L3-20260804-42f2,MAT-0C36C0567E,390.1
USE-0021-COCO,BATCH-FAC-CHI-L1-20260625-5b64,MAT-95F59D7E7E,354.9
USE-0021-SUGA,BATCH-FAC-CHI-L1-20260625-5b64,MAT-711DAF311A,88.2
USE-0021-PACK,BATCH-FAC-CHI-L1-20260625-5b64,MAT-626E4893C5,317.3
USE-0022-MILK,BATCH-FAC-SIN-L3-20260625-2903,MAT-9FA7433EE3,121.4
USE-0022-SUGA,BATCH-FAC-SIN-L3-20260625-2903,MAT-73DB5E0ECF,165.4
USE-0022-PACK,BATCH-FAC-SIN-L3-20260625-2903,MAT-B21CD00C3D,346.3
USE-0023-COCO,BATCH-FAC-CHI-L1-20260628-6c5b,MAT-3A661A3BE9,136.0
USE-0023-MILK,BATCH-FAC-CHI-L1-20260628-6c5b,MAT-9FA7433EE3,104.7
USE-0023-SUGA,BATCH-FAC-CHI-L1-20260628-6c5b,MAT-8B113A99EF,171.4
USE-0023-PACK,BATCH-FAC-CHI-L1-20260628-6c5b,MAT-FFFBDC9C26,348.5
USE-0024-MILK,BATCH-FAC-GRU-L2-20260709-bd11,MAT-220DB5B21F,278.2
USE-0024-SUGA,BATCH-FAC-GRU-L2-20260709-bd11,MAT-B3FD3C158A,145.8
USE-0024-PACK,BATCH-FAC-GRU-L2-20260709-bd11,MAT-B21CD00C3D,63.8
USE-0025-COCO,BATCH-FAC-GRU-L1-20260713-fa1d,MAT-FD2CD3FF8F,61.2
USE-0025-MILK,BATCH-FAC-GRU-L1-20260713-fa1d,MAT-220DB5B21F,151.4
USE-0025-SUGA,BATCH-FAC-GRU-L1-20260713-fa1d,MAT-675C4778F8,185.8
USE-0025-PACK,BATCH-FAC-GRU-L1-20260713-fa1d,MAT-27D46B4664,166.4
USE-0026-MILK,BATCH-FAC-CHI-L2-20260817-0343,MAT-220DB5B21F,20.6
USE-0026-SUGA,BATCH-FAC-CHI-L2-20260817-0343,MAT-B3FD3C158A,281.0
USE-0026-PACK,BATCH-FAC-CHI-L2-20260817-0343,MAT-75A2D297F5,158.4
USE-0027-COCO,BATCH-FAC-BCN-L3-20260622-e0b5,MAT-A6CEF730B7,139.3
USE-0027-MILK,BATCH-FAC-BCN-L3-20260622-e0b5,MAT-62E2BFD47E,293.5
USE-0027-SUGA,BATCH-FAC-BCN-L3-20260622-e0b5,MAT-06E236740A,212.7
USE-0027-PACK,BATCH-FAC-BCN-L3-20260622-e0b5,MAT-0C36C0567E,143.9
USE-0028-COCO,BATCH-FAC-GRU-L3-20260811-44a7,MAT-F2F24B29FA,272.7
USE-0028-SUGA,BATCH-FAC-GRU-L3-20260811-44a7,MAT-4BFE215CDA,277.4
USE-0028-PACK,BATCH-FAC-GRU-L3-20260811-44a7,MAT-28142666CD,253.9
USE-0029-COCO,BATCH-FAC-GRU-L2-20260715-0b28,MAT-B267BFDD82,129.0
USE-0029-SUGA,BATCH-FAC-GRU-L2-20260715-0b28,MAT-4BFE215CDA,318.6
USE-0029-PACK,BATCH-FAC-GRU-L2-20260715-0b28,MAT-626E4893C5,196.7
USE-0030-MILK,BATCH-FAC-SIN-L3-20260806-5fe8,MAT-220DB5B21F,321.6
USE-0030-SUGA,BATCH-FAC-SIN-L3-20260806-5fe8,MAT-06AEE2CC63,270.4
USE-0030-PACK,BATCH-FAC-SIN-L3-20260806-5fe8,MAT-FFFBDC9C26,215.9
USE-0031-COCO,BATCH-FAC-GRU-L1-20260628-6384,MAT-C7A2571ACA,138.0
USE-0031-SUGA,BATCH-FAC-GRU-L1-20260628-6384,MAT-8B113A99EF,76.0
USE-0031-PACK,BATCH-FAC-GRU-L1-20260628-6384,MAT-B21CD00C3D,113.0
USE-0032-COCO,BATCH-FAC-SIN-L3-20260626-98c4,MAT-D715020F90,177.5
USE-0032-SUGA,BATCH-FAC-SIN-L3-20260626-98c4,MAT-761E379627,93.9
USE-0032-PACK,BATCH-FAC-SIN-L3-20260626-98c4,MAT-0C36C0567E,207.9
USE-0033-MILK,BATCH-FAC-CHI-L1-20260709-859d,MAT-62E2BFD47E,359.2
USE-0033-SUGA,BATCH-FAC-CHI-L1-20260709-859d,MAT-73DB5E0ECF,315.8
USE-0033-PACK,BATCH-FAC-CHI-L1-20260709-859d,MAT-75A2D297F5,86.8
USE-0034-COCO,BATCH-FAC-SIN-L1-20260715-e5fb,MAT-20762EE639,193.5
USE-0034-SUGA,BATCH-FAC-SIN-L1-20260715-e5fb,MAT-354B92745F,273.7
USE-0034-PACK,BATCH-FAC-SIN-L1-20260715-e5fb,MAT-626E4893C5,381.0
USE-0035-MILK,BATCH-FAC-SIN-L3-20260628-866d,MAT-E9049B3FCF,182.2
USE-0035-SUGA,BATCH-FAC-SIN-L3-20260628-866d,MAT-B3FD3C158A,189.4
USE-0035-PACK,BATCH-FAC-SIN-L3-20260628-866d,MAT-28142666CD,302.6
USE-0036-COCO,BATCH-FAC-SIN-L2-20260803-bdf8,MAT-C7A2571ACA,125.4
USE-0036-SUGA,BATCH-FAC-SIN-L2-20260803-bdf8,MAT-B3FD3C158A,204.1
USE-0036-PACK,BATCH-FAC-SIN-L2-20260803-bdf8,MAT-75A2D297F5,124.3
USE-0037-COCO,BATCH-FAC-BCN-L3-20260801-b4a6,MAT-B267BFDD82,147.6
USE-0037-SUGA,BATCH-FAC-BCN-L3-20260801-b4a6,MAT-B3FD3C158A,50.6
USE-0037-PACK,BATCH-FAC-BCN-L3-20260801-b4a6,MAT-28142666CD,107.9
USE-0038-COCO,BATCH-FAC-CHI-L3-20260806-b4a8,MAT-F2F24B29FA,174.9
USE-0038-SUGA,BATCH-FAC-CHI-L3-20260806-b4a8,MAT-B3FD3C158A,197.1
USE-0038-PACK,BATCH-FAC-CHI-L3-20260806-b4a8,MAT-B21CD00C3D,98.6
USE-0039-MILK,BATCH-FAC-SIN-L2-20260623-b547,MAT-9E3B54FE41,27.4
USE-0039-SUGA,BATCH-FAC-SIN-L2-20260623-b547,MAT-761E379627,164.5
USE-0039-PACK,BATCH-FAC-SIN-L2-20260623-b547,MAT-B21CD00C3D,378.2
USE-0040-COCO,BATCH-FAC-GRU-L2-20260626-05f4,MAT-DBAF5B7F9F,304.1
USE-0040-MILK,BATCH-FAC-GRU-L2-20260626-05f4,MAT-E9049B3FCF,323.9
USE-0040-SUGA,BATCH-FAC-GRU-L2-20260626-05f4,MAT-8B113A99EF,205.5
USE-0040-PACK,BATCH-FAC-GRU-L2-20260626-05f4,MAT-FFFBDC9C26,185.6
USE-0041-MILK,BATCH-FAC-BCN-L2-20260729-da1f,MAT-9E3B54FE41,323.3
USE-0041-SUGA,BATCH-FAC-BCN-L2-20260729-da1f,MAT-06AEE2CC63,339.4
USE-0041-PACK,BATCH-FAC-BCN-L2-20260729-da1f,MAT-28142666CD,392.7
USE-0042-MILK,BATCH-FAC-BCN-L2-20260713-26c6,MAT-9E3B54FE41,30.3
USE-0042-SUGA,BATCH-FAC-BCN-L2-20260713-26c6,MAT-4BFE215CDA,71.6
USE-0042-PACK,BATCH-FAC-BCN-L2-20260713-26c6,MAT-BC85F09A88,89.1
USE-0043-COCO,BATCH-FAC-GRU-L2-20260730-5355,MAT-D715020F90,144.2
USE-0043-SUGA,BATCH-FAC-GRU-L2-20260730-5355,MAT-4BFE215CDA,125.7
USE-0043-PACK,BATCH-FAC-GRU-L2-20260730-5355,MAT-0C36C0567E,115.9
USE-0044-MILK,BATCH-FAC-BCN-L2-20260818-53ff,MAT-E9049B3FCF,39.8
USE-0044-SUGA,BATCH-FAC-BCN-L2-20260818-53ff,MAT-675C4778F8,105.2
USE-0044-PACK,BATCH-FAC-BCN-L2-20260818-53ff,MAT-27D46B4664,316.9
USE-0045-COCO,BATCH-FAC-BCN-L1-20260620-d96c,MAT-4B869F29D9,338.9
USE-0045-SUGA,BATCH-FAC-BCN-L1-20260620-d96c,MAT-761E379627,77.9
USE-0045-PACK,BATCH-FAC-BCN-L1-20260620-d96c,MAT-28142666CD,200.0
USE-0046-COCO,BATCH-FAC-BCN-L3-20260620-30fe,MAT-D715020F90,285.8
USE-0046-SUGA,BATCH-FAC-BCN-L3-20260620-30fe,MAT-675C4778F8,83.8
USE-0046-PACK,BATCH-FAC-BCN-L3-20260620-30fe,MAT-27D46B4664,315.6
USE-0047-MILK,BATCH-FAC-CHI-L2-20260813-a995,MAT-62E2BFD47E,373.0
USE-0047-SUGA,BATCH-FAC-CHI-L2-20260813-a995,MAT-761E379627,277.4
USE-0047-PACK,BATCH-FAC-CHI-L2-20260813-a995,MAT-0C36C0567E,170.7
USE-0048-MILK,BATCH-FAC-CHI-L1-20260713-5cee,MAT-9E3B54FE41,112.3
USE-0048-SUGA,BATCH-FAC-CHI-L1-20260713-5cee,MAT-06E236740A,343.1
USE-0048-PACK,BATCH-FAC-CHI-L1-20260713-5cee,MAT-27D46B4664,322.6
USE-0049-COCO,BATCH-FAC-BCN-L2-20260716-395a,MAT-C7A2571ACA,160.8
USE-0049-MILK,BATCH-FAC-BCN-L2-20260716-395a,MAT-E9049B3FCF,266.1
USE-0049-SUGA,BATCH-FAC-BCN-L2-20260716-395a,MAT-711DAF311A,342.8
USE-0049-PACK,BATCH-FAC-BCN-L2-20260716-395a,MAT-BC85F09A88,60.1
USE-0050-COCO,BATCH-FAC-GRU-L3-20260623-6fb6,MAT-864B061F30,78.1
USE-0050-MILK,BATCH-FAC-GRU-L3-20260623-6fb6,MAT-9FA7433EE3,298.8
USE-0050-SUGA,BATCH-FAC-GRU-L3-20260623-6fb6,MAT-06E236740A,254.0
USE-0050-PACK,BATCH-FAC-GRU-L3-20260623-6fb6,MAT-BC85F09A88,196.7
USE-0051-COCO,BATCH-FAC-GRU-L2-20260626-9e47,MAT-20762EE639,126.0
USE-0051-SUGA,BATCH-FAC-GRU-L2-20260626-9e47,MAT-354B92745F,112.7
USE-0051-PACK,BATCH-FAC-GRU-L2-20260626-9e47,MAT-BC85F09A88,236.5
USE-0052-COCO,BATCH-FAC-SIN-L2-20260818-a19b,MAT-3A661A3BE9,89.1
USE-0052-MILK,BATCH-FAC-SIN-L2-20260818-a19b,MAT-9FA7433EE3,154.8
USE-0052-SUGA,BATCH-FAC-SIN-L2-20260818-a19b,MAT-06E236740A,149.3
USE-0052-PACK,BATCH-FAC-SIN-L2-20260818-a19b,MAT-FFFBDC9C26,231.2
USE-0053-MILK,BATCH-FAC-CHI-L1-20260804-f3a8,MAT-220DB5B21F,205.7
USE-0053-SUGA,BATCH-FAC-CHI-L1-20260804-f3a8,MAT-8B113A99EF,282.4
USE-0053-PACK,BATCH-FAC-CHI-L1-20260804-f3a8,MAT-BC85F09A88,190.3
USE-0054-COCO,BATCH-FAC-BCN-L1-20260801-69b9,MAT-F2F24B29FA,282.9
USE-0054-SUGA,BATCH-FAC-BCN-L1-20260801-69b9,MAT-06E236740A,272.3
USE-0054-PACK,BATCH-FAC-BCN-L1-20260801-69b9,MAT-626E4893C5,199.8
USE-0055-MILK,BATCH-FAC-GRU-L2-20260703-b627,MAT-8C091B4452,153.7
USE-0055-SUGA,BATCH-FAC-GRU-L2-20260703-b627,MAT-354B92745F,122.9
USE-0055-PACK,BATCH-FAC-GRU-L2-20260703-b627,MAT-FFFBDC9C26,107.6
USE-0056-MILK,BATCH-FAC-CHI-L2-20260812-d275,MAT-E9049B3FCF,381.3
USE-0056-SUGA,BATCH-FAC-CHI-L2-20260812-d275,MAT-06AEE2CC63,92.8
USE-0056-PACK,BATCH-FAC-CHI-L2-20260812-d275,MAT-BC85F09A88,125.1
USE-0057-COCO,BATCH-FAC-GRU-L1-20260627-0a6e,MAT-B267BFDD82,106.4
USE-0057-SUGA,BATCH-FAC-GRU-L1-20260627-0a6e,MAT-06AEE2CC63,134.9
USE-0057-PACK,BATCH-FAC-GRU-L1-20260627-0a6e,MAT-28142666CD,124.2
USE-0058-MILK,BATCH-FAC-BCN-L3-20260801-238a,MAT-9FA7433EE3,262.4
USE-0058-SUGA,BATCH-FAC-BCN-L3-20260801-238a,MAT-354B92745F,59.0
USE-0058-PACK,BATCH-FAC-BCN-L3-20260801-238a,MAT-B21CD00C3D,238.1
USE-0059-COCO,BATCH-FAC-SIN-L2-20260722-0c0d,MAT-95F59D7E7E,386.9
USE-0059-MILK,BATCH-FAC-SIN-L2-20260722-0c0d,MAT-8C091B4452,377.6
USE-0059-SUGA,BATCH-FAC-SIN-L2-20260722-0c0d,MAT-354B92745F,63.4
USE-0059-PACK,BATCH-FAC-SIN-L2-20260722-0c0d,MAT-27D46B4664,172.3
