OrderLineId,OrderId,ProductId,QuantityKg,UnitPrice
ORD-00012-L1,ORD-00012,PROD-RCP-DARK70-Bar,451.7,20.05
ORD-00013-L1,ORD-00013,PROD-RCP-WHITE-Bar,300.8,20.84
ORD-00013-L2,ORD-00013,PROD-RCP-MILK35-IndividuallyWrapped,104.6,9.87
ORD-00013-L3,ORD-00013,PROD-RCP-DARK70-Bar,259.1,15.44
ORD-00014-L1,ORD-00014,PROD-RCP-WHITE-Bar,250.7,10.23
ORD-00014-L2,ORD-00014,PROD-RCP-MILK35-IndividuallyWrapped,437.7,14.3
ORD-00014-L3,ORD-00014,PROD-RCP-MILK35-Bar,388.3,19.76
ORD-00015-L1,ORD-00015,PROD-RCP-DARK70-Bar,155.5,12.7
ORD-00015-L2,ORD-00015,PROD-RCP-MILK35-Bar,451.9,9.13
ORD-00016-L1,ORD-00016,PROD-RCP-MILK35-IndividuallyWrapped,233.4,15.6
ORD-00017-L1,ORD-00017,PROD-RCP-DARK70-Bar,52.7,12.92
ORD-00017-L2,ORD-00017,PROD-RCP-MILK35-IndividuallyWrapped,389.1,19.95
ORD-00017-L3,ORD-00017,PROD-RCP-DARK70-GiftBox,479.0,13.87
ORD-00018-L1,ORD-00018,PROD-RCP-MILK35-IndividuallyWrapped,225.0,17.36
ORD-00018-L2,ORD-00018,PROD-RCP-DARK70-Bar,409.2,18.14
ORD-00019-L1,ORD-00019,PROD-RCP-WHITE-Bar,87.8,14.0
ORD-00019-L2,ORD-00019,PROD-RCP-DARK70-Bar,440.1,10.54
ORD-00020-L1,ORD-00020,PROD-RCP-MILK35-Bar,163.5,9.15
ORD-00020-L2,ORD-00020,PROD-RCP-MILK35-IndividuallyWrapped,58.7,15.55
ORD-00021-L1,ORD-00021,PROD-RCP-DARK70-Bar,139.7,8.29
ORD-00021-L2,ORD-00021,PROD-RCP-WHITE-Bar,118.6,9.77
ORD-00021-L3,ORD-00021,PROD-RCP-MILK35-IndividuallyWrapped,351.3,15.9
ORD-00022-L1,ORD-00022,PROD-RCP-WHITE-Bar,484.1,9.51
ORD-00022-L2,ORD-00022,PROD-RCP-DARK70-Bar,61.6,12.37
ORD-00022-L3,ORD-00022,PROD-RCP-MILK35-IndividuallyWrapped,354.8,21.41
ORD-00023-L1,ORD-00023,PROD-RCP-DARK70-GiftBox,397.6,19.9
ORD-00023-L2,ORD-00023,PROD-RCP-DARK70-Bar,320.2,9.69
ORD-00023-L3,ORD-00023,PROD-RCP-MILK35-Bar,492.7,18.96
ORD-00024-L1,ORD-00024,PROD-RCP-MILK35-Bar,420.0,9.48
ORD-00024-L2,ORD-00024,PROD-RCP-DARK70-Bar,482.4,16.9
ORD-00024-L3,ORD-00024,PROD-RCP-DARK70-GiftBox,422.9,17.9
ORD-00025-L1,ORD-00025,PROD-RCP-MILK35-IndividuallyWrapped,421.6,16.29
ORD-00025-L2,ORD-00025,PROD-RCP-WHITE-Bar,195.0,11.44
ORD-00025-L3,ORD-00025,PROD-RCP-DARK70-GiftBox,470.6,11.9
ORD-00026-L1,ORD-00026,PROD-RCP-MILK35-Bar,272.4,12.55
ORD-00026-L2,ORD-00026,PROD-RCP-DARK70-Bar,269.4,12.97
ORD-00027-L1,ORD-00027,PROD-RCP-DARK70-Bar,158.6,13.69
ORD-00027-L2,ORD-00027,PROD-RCP-DARK70-GiftBox,299.8,11.36
ORD-00027-L3,ORD-00027,PROD-RCP-WHITE-Bar,264.2,17.97
ORD-00028-L1,ORD-00028,PROD-RCP-MILK35-Bar,348.8,13.17
ORD-00029-L1,ORD-00029,PROD-RCP-MILK35-Bar,254.2,12.29
ORD-00029-L2,ORD-00029,PROD-RCP-WHITE-Bar,153.7,18.1
ORD-00029-L3,ORD-00029,PROD-RCP-MILK35-IndividuallyWrapped,192.0,18.4
ORD-00030-L1,ORD-00030,PROD-RCP-MILK35-IndividuallyWrapped,315.3,18.64
ORD-00030-L2,ORD-00030,PROD-RCP-MILK35-Bar,318.6,21.73
ORD-00030-L3,ORD-00030,PROD-RCP-WHITE-Bar,424.7,12.15
ORD-00031-L1,ORD-00031,PROD-RCP-DARK70-GiftBox,488.4,15.75
ORD-00031-L2,ORD-00031,PROD-RCP-MILK35-Bar,363.8,9.77
ORD-00031-L3,ORD-00031,PROD-RCP-DARK70-Bar,440.8,14.87
ORD-00032-L1,ORD-00032,PROD-RCP-MILK35-IndividuallyWrapped,133.0,8.72
ORD-00032-L2,ORD-00032,PROD-RCP-MILK35-Bar,473.5,14.69
ORD-00033-L1,ORD-00033,PROD-RCP-DARK70-GiftBox,117.1,15.88
ORD-00034-L1,ORD-00034,PROD-RCP-WHITE-Bar,399.1,13.33
ORD-00034-L2,ORD-00034,PROD-RCP-DARK70-GiftBox,458.8,12.16
ORD-00035-L1,ORD-00035,PROD-RCP-DARK70-Bar,145.0,17.25
ORD-00035-L2,ORD-00035,PROD-RCP-DARK70-GiftBox,120.7,10.43
ORD-00035-L3,ORD-00035,PROD-RCP-MILK35-Bar,83.8,8.04
ORD-00036-L1,ORD-00036,PROD-RCP-MILK35-Bar,359.3,20.93
ORD-00036-L2,ORD-00036,PROD-RCP-MILK35-IndividuallyWrapped,404.5,16.75
ORD-00036-L3,ORD-00036,PROD-RCP-DARK70-Bar,347.5,21.07
ORD-00037-L1,ORD-00037,PROD-RCP-MILK35-Bar,422.0,9.0
ORD-00038-L1,ORD-00038,PROD-RCP-MILK35-IndividuallyWrapped,260.9,12.26
ORD-00038-L2,ORD-00038,PROD-RCP-DARK70-Bar,231.1,11.81
ORD-00039-L1,ORD-00039,PROD-RCP-MILK35-Bar,91.1,21.47
ORD-00039-L2,ORD-00039,PROD-RCP-WHITE-Bar,426.2,16.05
ORD-00039-L3,ORD-00039,PROD-RCP-DARK70-Bar,477.9,21.99
